"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
129.650,-0.319,0.194,0.628,-0.0076,0.005,0.015,,,,,,,,129.650,-0.156,-0.094,0.070,-0.0037,-0.002,0.002,,,,,,,,,,,,,,,129.650,0.657,-1.607,-5.742,0.0157,-0.038,-0.137,129.650,-1.208,-3.534,32.393,-0.0288,-0.084,0.773,129.650,0.603,4.503,-33.406,0.0144,0.108,-0.798,129.650,0.014,-7.922,-19.513,3.3750E-4,-0.189,-0.466,129.650,0.239,6.105,-17.052,0.0057,0.146,-0.407,129.650,0.149,3.990,-10.105,0.0036,0.095,-0.241,129.650,-1.799,-3.812,34.261,-0.0429,-0.091,0.818
129.700,-0.309,0.225,0.698,-0.0074,0.005,0.017,,,,,,,,129.700,-0.160,-0.094,0.087,-0.0038,-0.002,0.002,,,,,,,,,,,,,,,129.700,0.565,-1.817,-2.723,0.0135,-0.043,-0.065,129.700,-1.340,-1.911,31.346,-0.0320,-0.046,0.748,129.700,0.787,2.545,-39.008,0.0188,0.061,-0.931,129.700,-0.426,-8.404,-0.471,-0.0102,-0.201,-0.011,129.700,0.536,4.796,-31.451,0.0128,0.114,-0.751,129.700,0.344,3.152,-20.595,0.0082,0.075,-0.492,129.700,-1.946,-2.100,34.226,-0.0465,-0.050,0.817
129.750,-0.297,0.267,0.716,-0.0071,0.006,0.017,,,,,,,,129.750,-0.165,-0.089,0.140,-0.0039,-0.002,0.003,,,,,,,,,,,,,,,129.750,0.470,-1.874,0.140,0.0112,-0.045,0.003,129.750,-1.395,-0.387,29.740,-0.0333,-0.009,0.710,129.750,0.862,0.429,-39.811,0.0206,0.010,-0.950,129.750,-0.861,-7.891,16.668,-0.0205,-0.188,0.398,129.750,0.743,2.806,-41.626,0.0177,0.067,-0.994,129.750,0.481,1.822,-28.030,0.0115,0.044,-0.669,129.750,-2.007,-0.398,34.488,-0.0479,-0.010,0.823
129.800,-0.283,0.304,0.628,-0.0067,0.007,0.015,,,,,,,,129.800,-0.170,-0.079,0.175,-0.0041,-0.002,0.004,,,,,,,,,,,,,,,129.800,0.374,-1.791,2.635,0.0089,-0.043,0.063,129.800,-1.376,1.047,28.309,-0.0329,0.025,0.676,129.800,0.826,-1.592,-36.006,0.0197,-0.038,-0.860,129.800,-1.243,-6.582,29.758,-0.0297,-0.157,0.710,129.800,0.829,0.424,-45.902,0.0198,0.010,-1.096,129.800,0.537,0.199,-31.137,0.0128,0.005,-0.743,129.800,-1.985,1.319,35.552,-0.0474,0.032,0.849
129.850,-0.265,0.330,0.506,-0.0063,0.008,0.012,,,,,,,,129.850,-0.173,-0.068,0.140,-0.0041,-0.002,0.003,,,,,,,,,,,,,,,129.850,0.286,-1.592,4.573,0.0068,-0.038,0.109,129.850,-1.288,2.430,27.088,-0.0308,0.058,0.647,129.850,0.693,-3.304,-28.327,0.0165,-0.079,-0.676,129.850,-1.536,-4.744,38.223,-0.0367,-0.113,0.913,129.850,0.787,-2.011,-43.703,0.0188,-0.048,-1.043,129.850,0.503,-1.466,-29.322,0.0120,-0.035,-0.700,129.850,-1.879,3.115,37.507,-0.0449,0.074,0.895
129.900,-0.250,0.351,0.454,-0.0060,0.008,0.011,,,,,,,,129.900,-0.176,-0.063,0.070,-0.0042,-0.002,0.002,,,,,,,,,,,,,,,129.900,0.212,-1.309,5.812,0.0051,-0.031,0.139,129.900,-1.133,3.765,25.464,-0.0270,0.090,0.608,129.900,0.479,-4.524,-17.872,0.0114,-0.108,-0.427,129.900,-1.725,-2.623,42.726,-0.0412,-0.063,1.020,129.900,0.619,-4.157,-35.395,0.0148,-0.099,-0.845,129.900,0.382,-2.901,-22.846,0.0091,-0.069,-0.545,129.900,-1.679,5.053,39.497,-0.0401,0.121,0.943
129.950,-0.231,0.372,0.436,-0.0055,0.009,0.010,,,,,,,,129.950,-0.179,-0.063,-3.220E-14,-0.0043,-0.001,-7.720E-16,,,,,,,,,,,,,,,129.950,0.154,-0.984,6.336,0.0037,-0.023,0.151,129.950,-0.909,5.021,22.410,-0.0217,0.120,0.535,129.950,0.218,-5.137,-6.178,0.0052,-0.123,-0.148,129.950,-1.802,-0.382,44.314,-0.0430,-0.009,1.058,129.950,0.350,-5.723,-22.288,0.0084,-0.137,-0.532,129.950,0.196,-3.875,-12.881,0.0047,-0.092,-0.308,129.950,-1.379,7.121,39.410,-0.0329,0.170,0.941
130.000,-0.212,0.398,0.384,-0.0051,0.010,0.009,,,,,,,,130.000,-0.182,-0.063,-0.052,-0.0044,-0.002,-0.001,,,,,,,,,,,,,,,130.000,0.113,-0.654,6.213,0.0027,-0.016,0.148,130.000,-0.625,6.095,16.895,-0.0149,0.146,0.403,130.000,-0.057,-5.121,5.027,-0.0013,-0.122,0.120,130.000,-1.764,1.874,43.546,-0.0421,0.045,1.040,130.000,0.019,-6.482,-6.528,4.5000E-4,-0.155,-0.156,130.000,-0.027,-4.246,-1.169,-6.3750E-4,-0.101,-0.028,130.000,-0.969,9.163,34.331,-0.0231,0.219,0.820
130.050,-0.192,0.414,0.262,-0.0046,0.010,0.006,,,,,,,,130.050,-0.185,-0.068,-0.087,-0.0044,-0.002,-0.002,,,,,,,,,,,,,,,130.050,0.090,-0.346,5.585,0.0021,-0.008,0.133,130.050,-0.289,6.822,8.378,-0.0069,0.163,0.200,130.050,-0.313,-4.561,14.259,-0.0075,-0.109,0.340,130.050,-1.612,4.053,40.090,-0.0385,0.097,0.957,130.050,-0.330,-6.372,9.285,-0.0079,-0.152,0.222,130.050,-0.251,-3.985,10.385,-0.0060,-0.095,0.248,130.050,-0.452,10.828,22.009,-0.0108,0.259,0.525
130.100,-0.170,0.424,0.105,-0.0040,0.010,0.002,,,,,,,,130.100,-0.188,-0.073,-0.122,-0.0045,-0.002,-0.003,,,,,,,,,,,,,,,130.100,0.080,-0.084,4.625,0.0019,-0.002,0.110,130.100,0.075,7.032,-2.670,0.0018,0.168,-0.064,130.100,-0.526,-3.592,20.612,-0.0126,-0.086,0.492,130.100,-1.352,6.006,32.934,-0.0323,0.143,0.786,130.100,-0.646,-5.466,22.794,-0.0154,-0.130,0.544,130.100,-0.445,-3.142,20.106,-0.0106,-0.075,0.480,130.100,0.143,11.645,2.688,0.0034,0.278,0.064
130.150,-0.149,0.424,-0.017,-0.0036,0.010,-4.167E-4,,,,,,,,130.150,-0.193,-0.079,-0.157,-0.0046,-0.002,-0.004,,,,,,,,,,,,,,,130.150,0.083,0.120,3.526,0.0020,0.003,0.084,130.150,0.437,6.597,-14.783,0.0104,0.158,-0.353,130.150,-0.680,-2.388,23.859,-0.0162,-0.057,0.570,130.150,-0.997,7.514,21.136,-0.0238,0.179,0.505,130.150,-0.897,-3.953,32.585,-0.0214,-0.094,0.778,130.150,-0.581,-1.864,26.756,-0.0139,-0.045,0.639,130.150,0.757,11.242,-20.281,0.0181,0.268,-0.484
130.200,-0.127,0.419,-0.105,-0.0030,0.010,-0.002,,,,,,,,130.200,-0.196,-0.089,-0.175,-0.0047,-0.002,-0.004,,,,,,,,,,,,,,,130.200,0.094,0.267,2.443,0.0022,0.006,0.058,130.200,0.759,5.519,-25.953,0.0181,0.132,-0.620,130.200,-0.767,-1.110,24.330,-0.0183,-0.026,0.581,130.200,-0.576,8.294,4.904,-0.0138,0.198,0.117,130.200,-1.054,-2.063,38.240,-0.0252,-0.049,0.913,130.200,-0.639,-0.335,29.566,-0.0153,-0.008,0.706,130.200,1.315,9.556,-41.993,0.0314,0.228,-1.002
130.250,-0.107,0.414,-0.157,-0.0025,0.010,-0.004,,,,,,,,130.250,-0.201,-0.099,-0.122,-0.0048,-0.002,-0.003,,,,,,,,,,,,,,,130.250,0.112,0.361,1.484,0.0027,0.009,0.035,130.250,1.007,3.901,-34.331,0.0240,0.093,-0.820,130.250,-0.789,0.115,22.637,-0.0188,0.003,0.540,130.250,-0.134,8.105,-13.823,-0.0032,0.194,-0.330,130.250,-1.107,-2.220E-15,39.968,-0.0264,0.000,0.954,130.250,-0.616,1.236,28.257,-0.0147,0.030,0.675,130.250,1.748,6.833,-58.591,0.0417,0.163,-1.399
130.300,-0.086,0.403,-0.209,-0.0021,0.010,-0.005,,,,,,,,130.300,-0.207,-0.105,-0.017,-0.0050,-0.003,-4.167E-4,,,,,,,,,,,,,,,130.300,0.132,0.408,0.750,0.0031,0.010,0.018,130.300,1.161,1.943,-38.746,0.0277,0.046,-0.925,130.300,-0.751,1.204,19.303,-0.0179,0.029,0.461,130.300,0.272,6.885,-31.905,0.0065,0.164,-0.762,130.300,-1.054,2.053,37.943,-0.0252,0.049,0.906,130.300,-0.511,2.628,22.969,-0.0122,0.063,0.548,130.300,2.018,3.456,-68.696,0.0482,0.083,-1.640
130.350,-0.066,0.393,-0.262,-0.0016,0.009,-0.006,,,,,,,,130.350,-0.212,-0.099,0.052,-0.0051,-0.002,0.001,,,,,,,,,,,,,,,130.350,0.154,0.424,0.349,0.0037,0.010,0.008,130.350,1.205,-0.126,-38.799,0.0288,-0.003,-0.926,130.350,-0.661,2.089,14.661,-0.0158,0.050,0.350,130.350,0.586,4.775,-46.251,0.0140,0.114,-1.104,130.350,-0.897,3.922,32.044,-0.0214,0.094,0.765,130.350,-0.339,3.649,14.329,-0.0081,0.087,0.342,130.350,2.103,-0.236,-72.606,0.0502,-0.006,-1.733
130.400,-0.047,0.377,-0.297,-0.0011,0.009,-0.007,,,,,,,,130.400,-0.217,-0.094,0.070,-0.0052,-0.002,0.002,,,,,,,,,,,,,,,130.400,0.174,0.429,0.332,0.0042,0.010,0.008,130.400,1.144,-2.079,-34.732,0.0273,-0.050,-0.829,130.400,-0.533,2.707,9.006,-0.0127,0.065,0.215,130.400,0.770,2.053,-54.716,0.0184,0.049,-1.306,130.400,-0.649,5.398,22.166,-0.0155,0.129,0.529,130.400,-0.127,4.142,3.438,-0.0030,0.099,0.082,130.400,1.996,-3.985,-70.546,0.0477,-0.095,-1.684
130.450,-0.028,0.361,-0.332,-6.7500E-4,0.009,-0.008,,,,,,,,130.450,-0.221,-0.094,0.070,-0.0053,-0.002,0.002,,,,,,,,,,,,,,,130.450,0.196,0.445,0.663,0.0047,0.011,0.016,130.450,0.986,-3.718,-27.157,0.0235,-0.089,-0.648,130.450,-0.380,3.011,2.775,-0.0091,0.072,0.066,130.450,0.801,-0.937,-56.130,0.0191,-0.022,-1.340,130.450,-0.336,6.267,8.779,-0.0080,0.150,0.210,130.450,0.096,4.021,-8.203,0.0023,0.096,-0.196,130.450,1.700,-7.508,-61.889,0.0406,-0.179,-1.478
130.500,-0.011,0.346,-0.367,-2.6250E-4,0.008,-0.009,,,,,,,,130.500,-0.226,-0.089,0.105,-0.0054,-0.002,0.002,,,,,,,,,,,,,,,130.500,0.218,0.487,1.239,0.0052,0.012,0.030,130.500,0.756,-4.885,-17.017,0.0180,-0.117,-0.406,130.500,-0.220,2.985,-3.438,-0.0052,0.071,-0.082,130.500,0.672,-3.817,-50.143,0.0161,-0.091,-1.197,130.500,0.005,6.356,-6.685,1.1250E-4,0.152,-0.160,130.500,0.297,3.288,-18.797,0.0071,0.079,-0.449,130.500,1.227,-10.435,-46.286,0.0293,-0.249,-1.105
130.550,0.006,0.325,-0.419,1.5000E-4,0.008,-0.010,,,,,,,,130.550,-0.231,-0.084,0.157,-0.0055,-0.002,0.004,,,,,,,,,,,,,,,130.550,0.243,0.565,1.885,0.0058,0.014,0.045,130.550,0.478,-5.466,-5.637,0.0114,-0.131,-0.135,130.550,-0.071,2.644,-8.919,-0.0017,0.063,-0.213,130.550,0.402,-6.194,-37.455,0.0096,-0.148,-0.894,130.550,0.330,5.597,-22.009,0.0079,0.134,-0.525,130.550,0.443,2.042,-26.546,0.0106,0.049,-0.634,130.550,0.620,-12.352,-25.674,0.0148,-0.295,-0.613
130.600,0.022,0.304,-0.489,5.2500E-4,0.007,-0.012,,,,,,,,130.600,-0.234,-0.073,0.175,-0.0056,-0.002,0.004,,,,,,,,,,,,,,,130.600,0.273,0.681,2.409,0.0065,0.016,0.057,130.600,0.187,-5.435,5.358,0.0045,-0.130,0.128,130.600,0.053,2.042,-12.950,0.0013,0.049,-0.309,130.600,0.024,-7.734,-20.106,5.6250E-4,-0.185,-0.480,130.600,0.592,4.063,-34.697,0.0141,0.097,-0.828,130.600,0.512,0.482,-30.072,0.0122,0.011,-0.718,130.600,-0.055,-13.027,-4.852,-0.0013,-0.311,-0.116
130.650,0.036,0.278,-0.576,8.6250E-4,0.007,-0.014,,,,,,,,130.650,-0.239,-0.063,0.157,-0.0057,-0.002,0.004,,,,,,,,,,,,,,,130.650,0.311,0.817,2.670,0.0074,0.020,0.064,130.650,-0.085,-4.859,14.504,-0.0020,-0.116,0.346,130.650,0.140,1.278,-14.975,0.0033,0.031,-0.358,130.650,-0.408,-8.257,-1.239,-0.0097,-0.197,-0.030,130.650,0.756,1.958,-42.621,0.0180,0.047,-1.018,130.650,0.493,-1.136,-28.781,0.0118,-0.027,-0.687,130.650,-0.724,-12.619,10.385,-0.0173,-0.301,0.248
130.700,0.050,0.246,-0.681,0.0012,0.006,-0.016,,,,,,,,130.700,-0.240,-0.058,0.122,-0.0057,-0.001,0.003,,,,,,,,,,,,,,,130.700,0.355,0.958,2.583,0.0085,0.023,0.062,130.700,-0.313,-3.885,20.944,-0.0075,-0.093,0.500,130.700,0.182,0.466,-14.783,0.0044,0.011,-0.353,130.700,-0.837,-7.786,15.900,-0.0200,-0.186,0.380,130.700,0.798,-0.414,-44.488,0.0190,-0.010,-1.062,130.700,0.391,-2.555,-22.969,0.0093,-0.061,-0.548,130.700,-1.337,-11.624,16.458,-0.0319,-0.277,0.393
130.750,0.061,0.209,-0.768,0.0015,0.005,-0.018,,,,,,,,130.750,-0.243,-0.052,0.122,-0.0058,-0.001,0.003,,,,,,,,,,,,,,,130.750,0.407,1.089,2.059,0.0097,0.026,0.049,130.750,-0.481,-2.665,24.504,-0.0115,-0.064,0.585,130.750,0.184,-0.272,-12.566,0.0044,-0.007,-0.300,130.750,-1.214,-6.514,29.095,-0.0290,-0.156,0.695,130.750,0.712,-2.712,-40.003,0.0170,-0.065,-0.955,130.750,0.223,-3.555,-13.683,0.0053,-0.085,-0.327,130.750,-1.883,-10.640,13.701,-0.0450,-0.254,0.327
130.800,0.071,0.168,-0.820,0.0017,0.004,-0.020,,,,,,,,130.800,-0.247,-0.047,0.122,-0.0059,-0.001,0.003,,,,,,,,,,,,,,,130.800,0.465,1.183,0.995,0.0111,0.028,0.024,130.800,-0.583,-1.346,25.482,-0.0139,-0.032,0.608,130.800,0.149,-0.843,-8.796,0.0036,-0.020,-0.210,130.800,-1.506,-4.707,37.699,-0.0360,-0.112,0.900,130.800,0.512,-4.613,-29.915,0.0122,-0.110,-0.714,130.800,0.016,-3.990,-2.496,3.7500E-4,-0.095,-0.060,130.800,-2.383,-10.069,5.480,-0.0569,-0.240,0.131
130.850,0.079,0.126,-0.838,0.0019,0.003,-0.020,,,,,,,,130.850,-0.248,-0.037,0.070,-0.0059,-8.750E-4,0.002,,,,,,,,,,,,,,,130.850,0.528,1.210,-0.663,0.0126,0.029,-0.016,130.850,-0.614,-0.047,24.347,-0.0147,-0.001,0.581,130.850,0.091,-1.183,-4.136,0.0022,-0.028,-0.099,130.850,-1.693,-2.608,42.359,-0.0404,-0.062,1.011,130.850,0.228,-5.843,-15.900,0.0054,-0.139,-0.380,130.850,-0.198,-3.807,8.762,-0.0047,-0.091,0.209,130.850,-2.870,-10.064,-3.735,-0.0685,-0.240,-0.089
130.900,0.083,0.084,-0.838,0.0020,0.002,-0.020,,,,,,,,130.900,-0.250,-0.037,-0.017,-0.0060,-8.750E-4,-4.167E-4,,,,,,,,,,,,,,,130.900,0.589,1.136,-2.810,0.0141,0.027,-0.067,130.900,-0.583,1.141,21.555,-0.0139,0.027,0.515,130.900,0.022,-1.262,0.628,5.2500E-4,-0.030,0.015,130.900,-1.770,-0.382,44.122,-0.0423,-0.009,1.053,130.900,-0.102,-6.257,-0.279,-0.0024,-0.149,-0.007,130.900,-0.385,-3.053,18.343,-0.0092,-0.073,0.438,130.900,-3.371,-10.556,-9.687,-0.0805,-0.252,-0.231
130.950,0.086,0.042,-0.855,0.0021,1.000E-3,-0.020,,,,,,,,130.950,-0.251,-0.042,-0.087,-0.0060,-1.000E-3,-0.002,,,,,,,,,,,,,,,130.950,0.646,0.937,-5.184,0.0154,0.022,-0.124,130.950,-0.495,2.152,17.383,-0.0118,0.051,0.415,130.950,-0.044,-1.094,4.660,-0.0010,-0.026,0.111,130.950,-1.733,1.869,43.476,-0.0414,0.045,1.038,130.950,-0.427,-5.838,14.486,-0.0102,-0.139,0.346,130.950,-0.518,-1.864,24.906,-0.0124,-0.044,0.595,130.950,-3.914,-11.273,-8.814,-0.0935,-0.269,-0.210
131.000,0.088,0.000,-0.908,0.0021,4.337E-18,-0.022,,,,,,,,131.000,-0.254,-0.047,-0.105,-0.0061,-0.001,-0.002,,,,,,,,,,,,,,,131.000,0.688,0.613,-7.400,0.0164,0.015,-0.177,131.000,-0.360,2.922,11.990,-0.0086,0.070,0.286,131.000,-0.094,-0.744,7.261,-0.0022,-0.018,0.173,131.000,-1.582,4.053,40.003,-0.0378,0.097,0.955,131.000,-0.710,-4.702,26.424,-0.0170,-0.112,0.631,131.000,-0.580,-0.429,27.681,-0.0138,-0.010,0.661,131.000,-4.505,-11.765,0.750,-0.1076,-0.281,0.018
131.050,0.086,-0.047,-0.960,0.0021,-0.001,-0.023,,,,,,,,131.050,-0.256,-0.052,-0.105,-0.0061,-0.001,-0.002,,,,,,,,,,,,,,,131.050,0.710,0.178,-9.128,0.0169,0.004,-0.218,131.050,-0.192,3.388,5.620,-0.0046,0.081,0.134,131.050,-0.121,-0.304,8.081,-0.0029,-0.007,0.193,131.050,-1.321,6.000,32.655,-0.0315,0.143,0.780,131.050,-0.916,-3.053,34.418,-0.0219,-0.073,0.822,131.050,-0.562,1.042,26.459,-0.0134,0.025,0.632,131.050,-5.118,-11.498,17.994,-0.1222,-0.275,0.430
131.100,0.083,-0.099,-0.942,0.0020,-0.002,-0.023,,,,,,,,131.100,-0.259,-0.058,-0.087,-0.0062,-0.001,-0.002,,,,,,,,,,,,,,,131.100,0.708,-0.325,-10.140,0.0169,-0.008,-0.242,131.100,-0.009,3.503,-1.239,-2.2500E-4,0.084,-0.030,131.100,-0.124,0.126,7.156,-0.0030,0.003,0.171,131.100,-0.966,7.487,20.612,-0.0231,0.179,0.492,131.100,-1.024,-1.115,38.240,-0.0245,-0.027,0.913,131.100,-0.470,2.346,21.468,-0.0112,0.056,0.513,131.100,-5.697,-10.105,38.973,-0.1360,-0.241,0.930
131.150,0.077,-0.147,-0.838,0.0018,-0.004,-0.020,,,,,,,,131.150,-0.262,-0.063,-0.052,-0.0063,-0.002,-0.001,,,,,,,,,,,,,,,131.150,0.679,-0.864,-10.280,0.0162,-0.021,-0.245,131.150,0.171,3.257,-7.889,0.0041,0.078,-0.188,131.150,-0.105,0.461,4.782,-0.0025,0.011,0.114,131.150,-0.548,8.231,4.224,-0.0131,0.197,0.101,131.150,-1.029,0.901,38.118,-0.0246,0.022,0.910,131.150,-0.316,3.299,13.317,-0.0075,0.079,0.318,131.150,-6.172,-7.535,58.486,-0.1473,-0.180,1.396
131.200,0.068,-0.183,-0.716,0.0016,-0.004,-0.017,,,,,,,,131.200,-0.265,-0.063,-0.017,-0.0063,-0.001,-4.167E-4,,,,,,,,,,,,,,,131.200,0.622,-1.388,-9.442,0.0148,-0.033,-0.225,131.200,0.328,2.681,-13.526,0.0078,0.064,-0.323,131.200,-0.072,0.639,1.396,-0.0017,0.015,0.033,131.200,-0.108,8.006,-14.539,-0.0026,0.191,-0.347,131.200,-0.931,2.817,34.191,-0.0222,0.067,0.816,131.200,-0.123,3.754,3.054,-0.0029,0.090,0.073,131.200,-6.483,-4.037,72.309,-0.1548,-0.096,1.726
131.250,0.058,-0.215,-0.646,0.0014,-0.005,-0.015,,,,,,,,131.250,-0.269,-0.063,0.000,-0.0064,-0.002,1.149E-16,,,,,,,,,,,,,,,131.250,0.537,-1.843,-7.610,0.0128,-0.044,-0.182,131.250,0.448,1.843,-17.366,0.0107,0.044,-0.415,131.250,-0.035,0.618,-2.409,-8.2500E-4,0.015,-0.057,131.250,0.291,6.749,-32.498,0.0069,0.161,-0.776,131.250,-0.738,4.451,26.407,-0.0176,0.106,0.630,131.250,0.080,3.629,-7.802,0.0019,0.087,-0.186,131.250,-6.593,-0.021,78.104,-0.1574,-5.000E-4,1.865
131.300,0.047,-0.246,-0.611,0.0011,-0.006,-0.015,,,,,,,,131.300,-0.272,-0.063,0.017,-0.0065,-0.002,4.167E-4,,,,,,,,,,,,,,,131.300,0.434,-2.178,-4.957,0.0103,-0.052,-0.118,131.300,0.518,0.859,-18.797,0.0124,0.021,-0.449,131.300,-0.003,0.387,-5.917,-7.5000E-5,0.009,-0.141,131.300,0.597,4.608,-46.583,0.0143,0.110,-1.112,131.300,-0.470,5.592,14.957,-0.0112,0.134,0.357,131.300,0.261,2.932,-17.471,0.0062,0.070,-0.417,131.300,-6.487,4.074,75.049,-0.1549,0.097,1.792
131.350,0.033,-0.278,-0.576,7.8750E-4,-0.007,-0.014,,,,,,,,131.350,-0.275,-0.063,0.052,-0.0066,-0.001,0.001,,,,,,,,,,,,,,,131.350,0.314,-2.356,-1.745,0.0075,-0.056,-0.042,131.350,0.534,-0.131,-17.593,0.0127,-0.003,-0.420,131.350,0.011,-0.010,-8.465,2.6250E-4,-2.500E-4,-0.202,131.350,0.771,1.880,-54.716,0.0184,0.045,-1.306,131.350,-0.156,6.048,0.803,-0.0037,0.144,0.019,131.350,0.390,1.780,-24.330,0.0093,0.042,-0.581,131.350,-6.173,7.786,63.565,-0.1474,0.186,1.518
131.400,0.019,-0.304,-0.559,4.5000E-4,-0.007,-0.013,,,,,,,,131.400,-0.278,-0.058,0.087,-0.0066,-0.001,0.002,,,,,,,,,,,,,,,131.400,0.192,-2.361,1.693,0.0046,-0.056,0.040,131.400,0.500,-0.984,-14.032,0.0119,-0.024,-0.335,131.400,-0.002,-0.508,-9.617,-3.7500E-5,-0.012,-0.230,131.400,0.793,-1.100,-55.833,0.0189,-0.026,-1.333,131.400,0.163,5.707,-14.207,0.0039,0.136,-0.339,131.400,0.448,0.361,-27.262,0.0107,0.009,-0.651,131.400,-5.680,10.671,45.972,-0.1356,0.255,1.098
131.450,0.003,-0.330,-0.541,7.5000E-5,-0.008,-0.013,,,,,,,,131.450,-0.281,-0.052,0.105,-0.0067,-0.001,0.002,,,,,,,,,,,,,,,131.450,0.072,-2.183,5.009,0.0017,-0.052,0.120,131.450,0.427,-1.592,-8.779,0.0102,-0.038,-0.210,131.450,-0.039,-1.026,-9.198,-9.3750E-4,-0.024,-0.220,131.450,0.658,-3.958,-49.602,0.0157,-0.094,-1.184,131.450,0.443,4.576,-27.733,0.0106,0.109,-0.662,131.450,0.427,-1.100,-25.813,0.0102,-0.026,-0.616,131.450,-5.064,12.451,27.070,-0.1209,0.297,0.646
131.500,-0.014,-0.361,-0.471,-3.3750E-4,-0.009,-0.011,,,,,,,,131.500,-0.283,-0.047,0.122,-0.0068,-0.001,0.003,,,,,,,,,,,,,,,131.500,-0.033,-1.843,7.871,-7.8750E-4,-0.044,0.188,131.500,0.330,-1.890,-2.688,0.0079,-0.045,-0.064,131.500,-0.105,-1.482,-7.191,-0.0025,-0.035,-0.172,131.500,0.380,-6.304,-36.704,0.0091,-0.151,-0.876,131.500,0.644,2.801,-37.542,0.0154,0.067,-0.896,131.500,0.331,-2.367,-20.228,0.0079,-0.057,-0.483,131.500,-4.395,13.200,12.915,-0.1049,0.315,0.308
131.550,-0.033,-0.382,-0.314,-7.8750E-4,-0.009,-0.007,,,,,,,,131.550,-0.286,-0.042,0.175,-0.0068,-0.001,0.004,,,,,,,,,,,,,,,131.550,-0.116,-1.372,10.088,-0.0028,-0.033,0.241,131.550,0.226,-1.859,3.351,0.0054,-0.044,0.080,131.550,-0.193,-1.796,-3.805,-0.0046,-0.043,-0.091,131.550,-0.003,-7.796,-19.251,-7.5000E-5,-0.186,-0.460,131.550,0.737,0.634,-41.993,0.0176,0.015,-1.002,131.550,0.176,-3.236,-11.449,0.0042,-0.077,-0.273,131.550,-3.723,13.378,7.941,-0.0889,0.319,0.190
131.600,-0.053,-0.393,-0.140,-0.0013,-0.009,-0.003,,,,,,,,131.600,-0.287,-0.031,0.209,-0.0069,-7.500E-4,0.005,,,,,,,,,,,,,,,131.600,-0.173,-0.812,11.624,-0.0041,-0.019,0.278,131.600,0.134,-1.524,8.517,0.0032,-0.036,0.203,131.600,-0.292,-1.895,0.524,-0.0070,-0.045,0.013,131.600,-0.437,-8.273,-0.454,-0.0104,-0.197,-0.011,131.600,0.710,-1.613,-40.387,0.0169,-0.038,-0.964,131.600,-0.011,-3.571,-0.995,-2.6250E-4,-0.085,-0.024,131.600,-3.061,13.619,12.200,-0.0731,0.325,0.291
